Month,Log Ret EP,d/p,e/p,b/m,ntis,d/e,tbl,dfy,tms
193806,0.220725818,-2.748655956,-2.708915627,0.659545862,0.013101371,-0.039740329,0.0005,0.0299,0.0254
193807,0.070087278,-2.8555034,-2.84620054,0.625354108,0.014645338,-0.00930286,0.0007,0.0241,0.025
193808,-0.02785228,-2.865800012,-2.890371758,0.634020248,0.009000096,0.024571746,0.0006,0.0231,0.0253
193809,0.014748421,-2.920224721,-2.982745078,0.624248851,0.006665305,0.062520357,0.0008,0.0244,0.0251
193810,0.073190573,-3.072237838,-3.045281496,0.581954788,0.002404417,-0.026956342,0.0005,0.0221,0.0249
193811,-0.034013436,-3.123779908,-3.000720341,0.589373915,0.002803937,-0.123059566,0.0004,0.0213,0.0253
193812,0.036987706,-3.254318672,-3.027261221,0.572039388,0.009154653,-0.227057451,0.0003,0.0219,0.0249
193901,-0.071399856,-3.176429784,-2.920077415,0.614218141,-9.98E-05,-0.256352369,0.0003,0.0211,0.0246
193902,0.031977731,-3.201958706,-2.917507814,0.599456891,0.004421746,-0.284450892,0.0003,0.0205,0.0242
193903,-0.145551557,-3.050001903,-2.738565745,0.660649272,0.001813088,-0.311436158,0.0003,0.019,0.0234
193904,-0.005504465,-3.038133277,-2.709882923,0.678454588,-0.000678055,-0.328250353,0.0003,0.0213,0.0226
193905,0.060384128,-3.092191907,-2.74761625,0.630337241,-8.61E-06,-0.344575657,0.0003,0.021,0.0214
193906,-0.065943783,-3.019964587,-2.65952316,0.666768736,0.00244475,-0.360441427,0.0003,0.0199,0.0218
193907,0.103114793,-3.104420579,-2.740978032,0.607985481,0.001153928,-0.363442548,0.0004,0.0195,0.0209
193908,-0.074149638,-3.011963468,-2.645638689,0.648017261,0.002352646,-0.36632478,0.0005,0.0192,0.0226
193909,0.152243509,-3.146305132,-2.777207668,0.580047949,0.002479444,-0.369097464,0.0014,0.0175,0.0264
193910,-0.014742124,-3.096513354,-2.726139566,0.573479062,0.001600602,-0.370373788,0.0005,0.0173,0.0242
193911,-0.050391893,-3.012261576,-2.640698019,0.597844739,0.003469605,-0.371563556,0.0005,0.0185,0.0231
193912,0.02345904,-3.002964125,-2.63028884,0.58070538,0.005154747,-0.372675285,0.0004,0.0198,0.0222
194001,-0.035871997,-2.961739052,-2.561635353,0.599325673,0.010546129,-0.4001037,0.0001,0.0198,0.0228
194002,0.006600396,-2.963021703,-2.536503717,0.594376962,0.00749329,-0.426517985,0.0002,0.0197,0.0226
194003,0.009827548,-2.967561397,-2.515576273,0.647959875,0.008371307,-0.451985124,0.0002,0.0196,0.0213
194004,-0.00492666,-2.952124467,-2.49396809,0.644074648,0.008658211,-0.458156377,0.0002,0.0192,0.0218
194005,-0.273882563,-2.667876183,-2.203721364,0.82257787,0.007565636,-0.464154819,0.0006,0.0201,0.024
194006,0.073716381,-2.731366006,-2.261362377,0.783221367,0.008418777,-0.470003629,0.001,0.0215,0.0217
194007,0.030547794,-2.751750788,-2.279215975,0.757888061,0.008532988,-0.472534813,0.0005,0.0192,0.0219
194008,0.025867396,-2.767551431,-2.292531632,0.741775295,0.009544228,-0.475019799,0.0004,0.0191,0.0219
194009,0.009383475,-2.766975985,-2.289537378,0.720747889,0.010071912,-0.477438608,0.0005,0.0184,0.021
194010,0.038626596,-2.805619248,-2.337483033,0.710199837,0.011938542,-0.468136215,0.0002,0.0177,0.0212
194011,-0.043361395,-2.762274519,-2.303528045,0.73521495,0.011034823,-0.458746475,0.0002,0.0173,0.0197
194012,-0.002848193,-2.759442993,-2.310175262,0.72904751,0.010623785,-0.449267731,0.0002,0.0174,0.0192
194101,-0.049421386,-2.705075979,-2.257604132,0.770160316,0.008429348,-0.447471847,0.0002,0.0163,0.0211
194102,-0.015041118,-2.685128924,-2.239430468,0.783799295,0.008616717,-0.445698457,0.0004,0.0164,0.0209
194103,0.003932488,-2.684239552,-2.240308163,0.804269883,0.007853623,-0.443931389,0.0011,0.0158,0.0195
194104,-0.06757131,-2.611862075,-2.163430443,0.854249611,0.008172271,-0.448431632,0.001,0.0151,0.0186
194105,0.00419559,-2.611282164,-2.158415302,0.849178353,0.008809233,-0.452866862,0.0011,0.0151,0.0184
194106,0.051995117,-2.658535137,-2.201293759,0.801526718,0.006722403,-0.457241378,0.0012,0.0154,0.0179
194107,0.053272355,-2.707088681,-2.224546317,0.766363848,0.006315105,-0.482542364,0.0012,0.0154,0.0179
194108,-0.008808237,-2.693591639,-2.186598708,0.774542886,0.010158918,-0.506992931,0.0013,0.0153,0.0177
194109,-0.009839505,-2.679062664,-2.148434413,0.778268412,0.00974778,-0.530628251,0.001,0.0155,0.0183
194110,-0.071170919,-2.603216614,-2.08577736,0.837718554,0.011098764,-0.517439254,0.0009,0.0155,0.0173
194111,-0.043250691,-2.555470142,-2.051270665,0.860805861,0.010432931,-0.504199477,0.0028,0.0156,0.0158
194112,-0.046376436,-2.504663248,-2.013752934,0.889509733,0.012776998,-0.490910314,0.0033,0.0158,0.0171
194201,0.013489526,-2.527812255,-2.062558755,0.902111324,0.011811932,-0.4652535,0.0027,0.0146,0.022
194202,-0.025497016,-2.51204648,-2.073637695,0.926064928,0.011873917,-0.438408785,0.0025,0.0144,0.0222
194203,-0.070116287,-2.451754442,-2.041470048,1.03486386,0.012918379,-0.410284395,0.0025,0.0144,0.0219
194204,-0.044945408,-2.421674465,-2.016209356,1.080230729,0.013941398,-0.405465108,0.0032,0.0143,0.0214
194205,0.061697658,-2.498495494,-2.098017927,1.021015067,0.013289217,-0.400477567,0.0037,0.0142,0.0206
194206,0.017929302,-2.531770959,-2.136458222,0.99670989,0.012889044,-0.395312737,0.0037,0.0148,0.0207
194207,0.030528059,-2.58302399,-2.181001397,0.974271661,0.012054965,-0.402022593,0.0038,0.0147,0.0206
194208,0.006668278,-2.610844013,-2.201876098,0.968682404,0.007983037,-0.408967915,0.0038,0.0147,0.0206
194209,0.026015758,-2.65845326,-2.242292863,0.944001466,0.00702771,-0.416160397,0.0038,0.0146,0.0206
194210,0.062101013,-2.73713141,-2.273294296,0.907488987,0.005292642,-0.463837114,0.0038,0.0144,0.0206
194211,-0.014213152,-2.739764177,-2.228938553,0.899563319,0.005347174,-0.510825624,0.0038,0.0146,0.0209
